Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
OTHO,T3,T3,920MB,Phone,Spreadtrum SC9832,ARM Mali 400 (614 MHz),480x960,213,armeabi;armeabi-v7a,24,2.0
OTOT,B10,B10,1971MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
OTOT,B11,B11,1944MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),720x1498,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
OTOT,E1,EOS,2006MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),720x1280,320,armeabi;armeabi-v7a,25,3.0
OTOT,H10,H10,3947MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1512,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
OTOT,PS8,PS8,948MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),600x1024,160,armeabi;armeabi-v7a,27,3.2
OTOT,S11,S11,939MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),480x960,240,armeabi;armeabi-v7a,27,3.0
OTOT,S7,S7,997MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,27,2.0
OTOT,S8,S8,1948MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,24,3.1
OTTO,OTTO CR05,OTTO_CR05,468MB,Phone,Spreadtrum SC7731,ARM Mali 400 (512 MHz),480x960,240,armeabi;armeabi-v7a,27,3.2
OVERTECH,OX7A,OX7A,1028MB,Tablet,Allwinner A50,2 核 ARM Mali 400 (600 MHz),600x1024,160,armeabi;armeabi-v7a,29,2.0
OVERTECH,OX7S,OX7S,2063MB,Tablet,Allwinner A133,Imagination Tech PowerVR GE8300 (504 MHz),600x1024,160,armeabi;armeabi-v7a,30,3.2
OWXMobile,W77,W77,986MB,Phone,Mediatek MT6580M,未知,540x960,240,armeabi;armeabi-v7a,27,2.0
OXYGEN (in),India,yeongdeungpo,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
OYYU,T11,OYYUT11,1003MB,Tablet,Mediatek MT8321,未知,800x1280,160,armeabi;armeabi-v7a,24,2.0
Oale,APEX1,Apex1,1971MB,Phone,Mediatek MT6739CH,Imagination Tech PowerVR GE8100 (570 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
